area,amount_spent,tenure,qualification,cluster,cluster_label
South London,70598.8769306226,2.514586390558415,Bachelor,1,Middle Income
North London,36999.330635550104,13.979171428737885,Masters,0,Low Income
South London,97206.42618937511,18.718767465413258,High School,2,High Income
East London,96282.28219926902,11.937639806950974,Bachelor,2,High Income
Central London,25926.447286711053,3.396191125132801,Bachelor,1,Middle Income
West London,50227.60208334616,12.052709021996058,High School,2,High Income
East London,30786.952671860196,15.560597048988395,Masters,0,Low Income
South London,29199.208943369293,8.721914194906354,High School,1,Middle Income
North London,4651.807788098747,17.71691721088789,Bachelor,0,Low Income
East London,61346.869064009785,13.324976113789925,Bachelor,2,High Income
Central London,50765.223299657286,18.08572944749485,High School,0,Low Income
South London,6096.396373748946,12.846600913699406,Masters,0,Low Income
North London,28585.99995942453,3.4944714680916604,Masters,1,Middle Income
West London,90918.32271069872,6.884142510998593,PhD,2,High Income
South London,24716.62717603027,4.834104016796681,Masters,1,Middle Income
North London,15344.592337031087,18.267703456620385,High School,0,Low Income
West London,49455.823267478736,15.447601278462171,Masters,0,Low Income
North London,98579.39495694947,13.851569009290115,Masters,2,High Income
West London,24963.471879638542,6.718360073000812,PhD,1,Middle Income
West London,67541.41919318198,4.496850668954057,Masters,1,Middle Income
West London,76400.34191754305,15.372570671789324,PhD,2,High Income
North London,24526.11685524757,10.009000971702514,PhD,0,Low Income
West London,73093.41851257409,5.290001490861953,Masters,1,Middle Income
South London,37410.53013920607,12.715817585140227,Bachelor,0,Low Income
Central London,63598.27722876437,1.7663431906305875,High School,1,Middle Income
Central London,63719.441365328574,7.197234828436817,High School,1,Middle Income
West London,54041.69372340109,9.902582897231559,Masters,1,Middle Income
Central London,9938.687235386422,3.811208348078711,High School,1,Middle Income
Central London,83694.94706333456,19.708435074225953,High School,2,High Income
West London,32757.22643220185,4.97284992720267,PhD,1,Middle Income
West London,19465.33252958557,3.4767094708220454,Bachelor,1,Middle Income
South London,5036.739013921628,4.867162603851032,High School,1,Middle Income
East London,59498.40137563594,15.612161530034761,Bachelor,2,High Income
North London,68078.87182238596,9.084607526165014,High School,2,High Income
West London,2642.195063857759,11.742902855298222,Bachelor,0,Low Income
West London,51697.212771628816,1.3991739827408542,Bachelor,1,Middle Income
Central London,23423.081744595856,1.6541948628929766,High School,1,Middle Income
South London,64872.10625053554,9.470685446713308,PhD,2,High Income
Central London,18262.27647149415,16.516449620830848,Bachelor,0,Low Income
West London,69402.83607214413,17.81953869544374,Bachelor,2,High Income
West London,39286.7992837532,2.647424784317164,High School,1,Middle Income
Central London,93736.26888493671,11.228898939919432,Bachelor,2,High Income
West London,14614.573470453332,18.35136403930614,Bachelor,0,Low Income
East London,34765.56875397559,8.371482333559841,PhD,1,Middle Income
North London,12233.878602818319,16.761750797139,Bachelor,0,Low Income
North London,92544.66820957772,3.5402174335892878,PhD,1,Middle Income
North London,87856.59598471712,18.772495303688174,Bachelor,2,High Income
East London,26536.221143800405,15.27704303309475,Bachelor,0,Low Income
West London,66338.42055738372,18.88535346295113,PhD,2,High Income
Central London,81904.99781992036,13.855727437497624,PhD,2,High Income
South London,55964.88034834677,7.904674707989113,Masters,1,Middle Income
West London,53435.40725724464,18.825442277969728,Bachelor,0,Low Income
East London,24943.376799144717,6.235768749874391,PhD,1,Middle Income
East London,10217.174012784022,7.311277919172918,Bachelor,0,Low Income
North London,89824.36003737935,14.315359942033066,Bachelor,2,High Income
West London,90141.38765916972,15.541009690982339,Bachelor,2,High Income
North London,63677.04427005353,18.65866619313392,High School,2,High Income
South London,34563.949313821366,4.891245772067981,Masters,1,Middle Income
North London,35571.74788665343,16.161962669165256,High School,0,Low Income
South London,72869.6122081537,15.032375014542305,Masters,2,High Income
East London,89813.91573530513,2.2120965688183594,Bachelor,1,Middle Income
North London,88821.55600224661,8.357239682993931,Bachelor,2,High Income
North London,78207.67903990476,6.372543684141873,PhD,1,Middle Income
Central London,64561.13296927449,6.785318062726578,Masters,1,Middle Income
East London,9329.856534509834,19.675990711539317,Masters,0,Low Income
Central London,17001.242695366764,13.21277085611863,High School,0,Low Income
South London,89956.86466418084,14.635846998076492,Masters,2,High Income
South London,61036.4769062994,19.555735108985175,Bachelor,2,High Income
East London,1910.508110046335,8.166833866695136,PhD,0,Low Income
South London,11045.682743737178,16.23496320060331,High School,0,Low Income
East London,66686.67514169753,9.256088302785411,PhD,2,High Income
South London,1501.09680077565,17.521139764484616,Masters,0,Low Income
West London,16919.997090332366,4.43249328491476,Masters,1,Middle Income
North London,55324.64514729202,19.006037364221314,High School,2,High Income
West London,69497.62457157663,5.1566624598067134,Masters,1,Middle Income
East London,65544.16469075746,7.198189632637699,PhD,1,Middle Income
East London,23202.661636595418,15.36765244802883,Bachelor,0,Low Income
West London,71505.74291340605,8.481347689742726,High School,2,High Income
North London,24487.659662183207,12.556016158562487,Masters,0,Low Income
North London,33214.57011776751,9.446896520319141,PhD,0,Low Income
Central London,74902.64910668439,15.105028804705855,Bachelor,2,High Income
South London,65313.65700567425,5.338293795003606,Masters,1,Middle Income
Central London,85073.11763892362,2.1107017575006632,High School,1,Middle Income
North London,66103.676337734,6.698658551988259,Masters,1,Middle Income
West London,57262.55173021169,10.011864632500174,Masters,2,High Income
South London,10273.802014981155,4.192380991660893,Masters,1,Middle Income
West London,37403.86450288392,7.7411485034713845,Bachelor,1,Middle Income
Central London,27255.03440049082,8.599677347577803,Bachelor,1,Middle Income
East London,25154.974694529275,2.0904450300771975,Masters,1,Middle Income
West London,97328.04492049212,12.082837715499886,Masters,2,High Income
Central London,39916.67474200928,17.802525131454463,High School,0,Low Income
Central London,89312.60896253421,3.883115346107996,Masters,1,Middle Income
Central London,63482.72397372903,12.358352254628766,PhD,2,High Income
East London,79686.31905062319,13.63004489330608,PhD,2,High Income
East London,50761.07221741402,8.96735892796648,High School,1,Middle Income
East London,58113.48457800955,14.32085415992113,Bachelor,2,High Income
South London,49759.251688067525,8.80389932632923,Masters,1,Middle Income
East London,20329.055792006406,10.588108471571264,High School,0,Low Income
East London,72522.75941088903,1.1397078465341126,Bachelor,1,Middle Income
East London,28796.463881644722,14.142682168559087,High School,0,Low Income
West London,3407.28067671393,13.565510899949764,Bachelor,0,Low Income
East London,64901.75729480961,1.7296166692005466,Masters,1,Middle Income
South London,18533.957261297845,7.996752040507529,High School,1,Middle Income
Central London,94105.39985093851,19.60160497504168,Masters,2,High Income
West London,95438.92912325615,8.993994688803719,High School,2,High Income
North London,91571.5746318244,10.536962697504993,Bachelor,2,High Income
East London,37645.711325289,18.288673005034653,High School,0,Low Income
Central London,2530.2050363578755,14.627975641449371,PhD,0,Low Income
Central London,92903.53769618481,12.059332491360248,PhD,2,High Income
West London,43390.23068341412,16.15828894548038,High School,0,Low Income
North London,96698.82708532328,17.42295906266349,PhD,2,High Income
South London,96398.37773183604,9.68087336300807,Masters,2,High Income
Central London,85447.93609126865,10.027058933704872,PhD,2,High Income
Central London,30150.440314888983,8.334967777384879,PhD,1,Middle Income
Central London,39124.6751315906,19.367416660350752,Masters,0,Low Income
Central London,85262.53048016883,14.246158831516658,Masters,2,High Income
West London,32375.27851047149,2.5812382579533737,Bachelor,1,Middle Income
North London,17779.781921923157,17.396232842947352,Masters,0,Low Income
Central London,56123.32498337667,10.130638875889094,High School,2,High Income
South London,93679.32264191732,2.306324222027262,PhD,1,Middle Income
South London,69906.94987082233,11.44462784810291,Bachelor,2,High Income
East London,57436.05583884713,8.92612130053834,Masters,1,Middle Income
Central London,10620.472883306085,17.67723869238987,PhD,0,Low Income
Central London,61885.71544321781,4.87589746857836,High School,1,Middle Income
Central London,99015.33116032206,16.702827580351475,High School,2,High Income
Central London,14868.31750841588,11.596085132523601,Bachelor,0,Low Income
Central London,52314.635584009935,2.037595761055912,High School,1,Middle Income
South London,87859.93412086759,19.46506072518421,PhD,2,High Income
North London,74336.09315766624,10.7396896379608,Masters,2,High Income
North London,70004.55835853153,6.526660230400068,High School,1,Middle Income
East London,70545.92431472382,9.918729997795904,Masters,2,High Income
South London,36589.62397075576,17.299297886832292,PhD,0,Low Income
Central London,30065.592582184843,6.793159363316207,PhD,1,Middle Income
North London,81126.75439237285,4.660851533247306,Masters,1,Middle Income
West London,81201.2260732389,3.4523536916867474,PhD,1,Middle Income
West London,86840.15953943027,6.659328569414014,Bachelor,2,High Income
West London,91410.81470309065,15.820913653760826,High School,2,High Income
Central London,51622.89748723284,9.960900938709973,Bachelor,1,Middle Income
Central London,50650.11317403276,5.3221504701772595,Bachelor,1,Middle Income
East London,80031.22271771074,4.157514992585234,Bachelor,1,Middle Income
East London,65346.42914699875,7.321860053697203,Masters,1,Middle Income
East London,70494.72084851263,18.858563084828468,Masters,2,High Income
West London,79783.474274174,7.517507539210463,PhD,2,High Income
Central London,89110.52883993907,19.774357443138072,Masters,2,High Income
West London,34461.52052830205,10.219378659541768,PhD,0,Low Income
East London,38182.71231135446,4.404114447512867,Masters,1,Middle Income
Central London,10304.212044246031,17.931661744076678,PhD,0,Low Income
South London,58249.733958621226,9.74675208956171,High School,2,High Income
North London,4558.285105877467,14.483755526585965,PhD,0,Low Income
North London,47094.20379511356,19.690520080973883,High School,0,Low Income
East London,54721.818836050086,1.953331656079506,PhD,1,Middle Income
West London,29367.583960700158,2.8371966359637755,Masters,1,Middle Income
South London,59492.492796332066,14.688678087792367,Masters,2,High Income
Central London,4019.5247439658933,6.354675062613968,High School,1,Middle Income
West London,4697.470686172228,4.501726542051882,Bachelor,1,Middle Income
East London,82437.45550530616,1.7478757165748604,Bachelor,1,Middle Income
West London,36658.873499715024,1.4150875277378343,PhD,1,Middle Income
East London,13578.990752536594,15.715226459276026,Masters,0,Low Income
North London,52702.082745425636,3.55423512002145,Bachelor,1,Middle Income
North London,77229.36175676248,9.886691703451866,Masters,2,High Income
West London,22366.281722187476,12.512039488410178,Masters,0,Low Income
South London,62666.157106081024,9.138684210808078,Masters,2,High Income
Central London,9449.399034383032,1.515026394388429,PhD,1,Middle Income
East London,6116.490395692162,15.886528549170269,High School,0,Low Income
Central London,53604.10852524665,1.1997512662914163,PhD,1,Middle Income
North London,54522.87703940055,15.475907993172196,Bachelor,2,High Income
South London,64105.56024832245,17.972785381974333,High School,2,High Income
South London,72883.0420385435,9.223958500086272,Bachelor,2,High Income
Central London,97609.35586679092,11.175306988858166,High School,2,High Income
North London,52113.734481818334,10.062684459735422,High School,1,Middle Income
Central London,32972.69082118335,8.394963753845337,PhD,1,Middle Income
West London,79723.43328210166,17.861066172036846,Masters,2,High Income
South London,27812.392874945348,17.98473670272982,Masters,0,Low Income
South London,44458.17064985797,7.380510928189156,High School,1,Middle Income
West London,8767.18175288433,12.686325326279261,PhD,0,Low Income
North London,3509.7235981302933,18.61124368077142,Bachelor,0,Low Income
South London,96302.19305311458,19.279111479885678,Bachelor,2,High Income
East London,83762.03193070837,10.670221768018903,Masters,2,High Income
East London,69901.4464032761,9.603671300402208,Masters,2,High Income
North London,41486.34149701272,6.29519200264199,Bachelor,1,Middle Income
West London,18156.137687013732,19.21856559061779,Bachelor,0,Low Income
Central London,16487.26722443752,3.71347178498448,PhD,1,Middle Income
North London,25774.04691829494,12.016761944906776,Bachelor,0,Low Income
Central London,55373.439805905924,6.368455082854139,PhD,1,Middle Income
North London,71744.99634730617,6.301157516608136,Masters,1,Middle Income
East London,66359.5402950554,8.69440316014758,Bachelor,2,High Income
West London,28713.45579764834,19.977065780497437,Masters,0,Low Income
East London,95531.66278565621,2.044359829956619,High School,1,Middle Income
West London,74051.79475288108,11.992294545867098,High School,2,High Income
Central London,55881.051198628666,2.5688710026702664,High School,1,Middle Income
North London,61560.35387720087,3.9358957698198607,Bachelor,1,Middle Income
South London,42540.4061803512,9.351695893685076,Masters,1,Middle Income
South London,25525.36796061459,10.698742495582385,Bachelor,0,Low Income
West London,36241.2951864749,5.917055758925956,Masters,1,Middle Income
West London,76026.76493597255,7.012685486613908,PhD,1,Middle Income
East London,2424.955374345831,2.6523733848627282,Bachelor,1,Middle Income
South London,12491.191410184707,6.76117589304076,High School,1,Middle Income
East London,5554.261560153522,19.364610348230336,PhD,0,Low Income
Central London,5032.1514295780435,18.94944025177715,Masters,0,Low Income
South London,85690.59781708971,7.362687512602715,Bachelor,2,High Income
Central London,70662.12807862235,11.84622478929647,Masters,2,High Income
North London,47943.209079645196,18.282312431107943,Masters,0,Low Income
East London,10685.581904449147,1.1174926301770367,Bachelor,1,Middle Income
West London,49669.971636566406,16.402987836414248,Bachelor,0,Low Income
South London,47873.705307276,19.01902150298946,Masters,0,Low Income
East London,18146.985121091504,2.7351889523375843,Masters,1,Middle Income
West London,43951.31327455933,4.0675060346255,PhD,1,Middle Income
North London,40451.96870533997,19.25417975265575,High School,0,Low Income
South London,61969.15970716943,11.21326272916658,Masters,2,High Income
Central London,63874.271435896735,1.2697360549627503,High School,1,Middle Income
North London,5485.096967432407,5.895007976507054,PhD,1,Middle Income
West London,38086.64884802065,9.548929811108334,High School,1,Middle Income
South London,62960.1316557094,14.165269309470586,High School,2,High Income
South London,50810.489599428685,14.930047184599191,PhD,0,Low Income
North London,85792.4942776439,19.913008745583667,Masters,2,High Income
South London,66210.66953027555,6.462712788291421,High School,1,Middle Income
West London,17130.50828106154,11.22618193550103,Masters,0,Low Income
North London,7986.305992642555,11.133147409332494,Masters,0,Low Income
Central London,64599.50854242525,8.707259929497512,Bachelor,2,High Income
North London,3624.6197436205593,4.2140759830059835,Masters,1,Middle Income
North London,58991.78254607286,19.57167470049301,Masters,2,High Income
Central London,94082.7939010708,17.213026546665134,High School,2,High Income
West London,57971.94360971202,10.468327537590508,Masters,2,High Income
East London,39428.82269444567,12.461663030996567,Masters,0,Low Income
East London,64685.53362579297,5.317960017633584,Bachelor,1,Middle Income
Central London,46367.03615866014,11.331954337443191,Bachelor,0,Low Income
West London,55016.06214227756,14.20443252930804,High School,2,High Income
South London,94205.016068876,10.788173539345188,High School,2,High Income
Central London,39224.16114227665,19.815418241113886,Bachelor,0,Low Income
East London,96157.8658185675,12.615491468706798,Bachelor,2,High Income
West London,90629.7135536503,8.048500539251211,PhD,2,High Income
North London,20383.322344140346,15.670888524700924,Masters,0,Low Income
West London,7866.76878664138,4.238787720051199,High School,1,Middle Income
West London,10977.022136365238,8.305800460419064,High School,0,Low Income
East London,2803.960739503423,7.592220057174131,Masters,0,Low Income
East London,10349.853114836911,9.204334807047768,Masters,0,Low Income
South London,68617.67056821933,15.8538166926458,High School,2,High Income
South London,8047.67619756267,10.199287611104742,Bachelor,0,Low Income
Central London,32578.587399082367,16.086274555053294,Bachelor,0,Low Income
North London,84642.655785976,11.953289159657452,Masters,2,High Income
South London,3303.921637846761,7.499319258493552,High School,0,Low Income
East London,81632.37977630465,16.389596129985975,Masters,2,High Income
West London,28903.622702566594,5.52750374050874,Bachelor,1,Middle Income
Central London,12698.31793454397,5.263276616196114,PhD,1,Middle Income
South London,69976.97937105091,10.585555557041879,PhD,2,High Income
West London,63265.34183120851,5.9561356732796895,Bachelor,1,Middle Income
West London,87869.72933917824,1.1726536640731102,Masters,1,Middle Income
South London,73772.03333658469,13.317653018677229,PhD,2,High Income
North London,80544.61210810002,10.710782607975561,Bachelor,2,High Income
North London,28921.42268455934,9.464838475370062,High School,0,Low Income
Central London,18566.51483419256,19.372401777747992,Masters,0,Low Income
North London,75310.86041244498,11.85278449529536,Masters,2,High Income
Central London,80876.63918745914,17.405199977998304,PhD,2,High Income
East London,99060.00905806666,3.649554487898043,Masters,1,Middle Income
South London,41849.15001423122,11.814922799459126,PhD,0,Low Income
West London,37829.79049348553,17.491612907887156,PhD,0,Low Income
Central London,77864.88311345769,12.079009388318061,Bachelor,2,High Income
North London,34739.55048504876,14.642269384413028,PhD,0,Low Income
Central London,93144.97523475291,8.068827788431939,High School,2,High Income
Central London,85982.86243245816,2.7565408237042655,Masters,1,Middle Income
North London,43470.408710126816,9.700105607414358,PhD,1,Middle Income
North London,75336.23571135824,8.495108425938293,Masters,2,High Income
South London,75699.74453438356,17.4741434652,PhD,2,High Income
West London,11209.263014757329,5.6359107446969725,Bachelor,1,Middle Income
South London,90352.7377612771,19.367950323167054,High School,2,High Income
South London,51019.98487233786,19.204624276285426,Masters,0,Low Income
North London,82819.28914466641,5.705001218357335,Bachelor,1,Middle Income
North London,32684.910502030565,7.612987154069089,Masters,1,Middle Income
West London,89656.79962112385,18.015559076603815,Bachelor,2,High Income
Central London,39530.96619468215,19.36582219702604,High School,0,Low Income
South London,2072.927496549538,9.425342953884837,PhD,0,Low Income
West London,90632.8156655071,7.098943867177058,Bachelor,2,High Income
South London,10037.381001827222,10.995786251779299,Masters,0,Low Income
Central London,32612.050121451073,14.06761492094896,Masters,0,Low Income
South London,95056.1347380297,6.196015792124616,Bachelor,2,High Income
East London,95110.10754681805,14.992990317762382,High School,2,High Income
West London,57770.350924205326,1.9814897851781796,High School,1,Middle Income
North London,63551.88400481013,1.9365953625239123,PhD,1,Middle Income
South London,45396.106675853654,8.33946639776536,PhD,1,Middle Income
West London,30027.86639810839,7.715990649153691,Masters,1,Middle Income
West London,33537.789991621685,6.997031091975893,Masters,1,Middle Income
South London,67579.3271516268,10.32937549070929,PhD,2,High Income
North London,75485.07841433032,7.093938063919853,PhD,1,Middle Income
North London,79366.325328859,4.652900450893746,PhD,1,Middle Income
South London,79172.19613666083,6.8799214326834175,Bachelor,2,High Income
West London,10029.404201820347,19.523181183394463,PhD,0,Low Income
North London,49947.61016555557,8.811154922902123,Bachelor,1,Middle Income
South London,6698.317241647784,9.449542760308379,Bachelor,0,Low Income
South London,55403.35935004982,11.95435480907166,PhD,2,High Income
South London,44711.51963596432,19.683474599870305,High School,0,Low Income
West London,88882.71409307167,5.590424252279497,High School,2,High Income
North London,35740.58624265579,13.944360100116242,Masters,0,Low Income
West London,12589.63462633298,14.603709177292759,PhD,0,Low Income
East London,15156.17652323075,12.539163919068253,Masters,0,Low Income
North London,76389.55254002975,2.6829884530962373,PhD,1,Middle Income
West London,62203.588268309846,13.860573240723953,Masters,2,High Income
North London,11011.144936156234,2.217799509687334,Bachelor,1,Middle Income
East London,9326.573805384745,12.326710341448042,PhD,0,Low Income
Central London,70395.94401445288,15.05204236721311,High School,2,High Income
South London,8203.537630055158,5.008427921779058,PhD,1,Middle Income
West London,82364.14586974526,16.99081814331271,Masters,2,High Income
East London,70917.98048849312,1.5767223051270811,Masters,1,Middle Income
East London,9053.529283548076,17.032444409507814,Masters,0,Low Income
North London,9398.933694434,9.746251962212536,Masters,0,Low Income
North London,98677.31827161637,5.134170858701245,Masters,2,High Income
South London,38052.80877985591,3.5417847548853922,Masters,1,Middle Income
North London,37693.572559622204,19.112836184065078,High School,0,Low Income
West London,81467.15715849276,2.3806461640419774,Masters,1,Middle Income
West London,94777.60916100201,4.782774978782587,High School,2,High Income
West London,98614.10531846422,7.6086246012278735,PhD,2,High Income
Central London,75584.44034063522,12.78446213026129,Bachelor,2,High Income
West London,38249.69896756066,11.351220620245869,High School,0,Low Income
North London,9266.570953168208,3.387226355833966,PhD,1,Middle Income
North London,77937.54467681624,6.5048316910260775,Bachelor,1,Middle Income
West London,56282.0207238447,5.5362836506344575,High School,1,Middle Income
East London,42997.97891545065,5.057314235316486,High School,1,Middle Income
East London,90729.08412437886,8.811742393119754,PhD,2,High Income
East London,12008.550748308982,14.376597599241482,Masters,0,Low Income
